Budget,ActorPopularity,Genre,Rating
7654843,0.35,Indie,4.0
62594692,0.37,Crime,4.0
110585882,0.85,Crime,6.3
81024411,0.54,Fantasy,4.0
11627608,0.64,Romance,4.0
85793759,0.37,Thriller,4.0
149665172,0.86,Crime,6.6
43640702,0.8,Thriller,5.3
23666589,0.85,Horror,4.2
184788603,0.6,Adventure,5.5
13814747,0.88,Horror,4.8
52437115,0.9,Comedy,4.7
161734166,0.53,Adventure,4.6
19203066,0.63,Romance,4.0
14419876,0.49,Horror,4.0
21649252,0.31,Horror,4.0
47394260,0.79,Comedy,4.5
275384033,0.62,Sci-Fi,6.5
64628703,0.36,Adventure,4.0
9163966,0.51,Indie,4.0
152276672,0.59,Adventure,5.2
30609604,0.78,Romance,4.0
10735573,0.38,Horror,4.0
86922443,0.95,Comedy,6.0
148085309,0.8,Sci-Fi,5.4
274066752,0.66,Fantasy,5.9
41054020,0.5,Comedy,4.0
3474740,0.78,Horror,4.0
109273432,0.68,Action,5.1
50806707,0.89,Drama,5.5
232653514,0.62,Action,5.6
11447833,0.47,Drama,4.0
23770247,0.57,Comedy,4.0
122133896,0.34,Crime,4.0
151560225,0.36,Fantasy,4.0
141715862,0.71,Animation,5.8
298223649,0.66,Sci-Fi,6.5
139820122,0.88,Adventure,6.9
22080038,0.72,Horror,4.0
4329726,0.94,Indie,4.5
161040403,0.75,Sci-Fi,5.1
45043572,0.35,Drama,4.0
186141170,0.5,Adventure,4.2
10486454,0.78,Indie,4.1
61329612,0.93,Crime,6.2
109160218,0.75,Crime,6.0
35405014,0.67,Thriller,4.0
7772657,0.35,Horror,4.0
22966364,0.81,Horror,4.1
17735544,0.38,Horror,4.0
14505944,0.94,Indie,5.0
177510001,0.35,Adventure,4.0
118587474,0.52,Thriller,4.0
45725714,0.95,Comedy,5.8
227604611,0.95,Fantasy,8.0
140249293,0.48,Crime,4.0
39574775,0.65,Drama,4.2
9089765,0.98,Horror,4.6
84492696,0.62,Adventure,4.1
14019579,0.88,Romance,4.5
17625181,0.5,Indie,4.0
39850811,0.61,Animation,4.0
14779366,0.96,Romance,5.0
30308986,0.75,Animation,4.5
27275149,0.43,Thriller,4.0
178659464,0.82,Adventure,5.7
65168595,0.93,Animation,5.6
17264229,0.38,Indie,4.0
134235923,0.78,Fantasy,5.1
299038335,0.36,Action,5.9
76934487,0.94,Comedy,5.8
41445413,0.93,Drama,5.3
10174617,0.58,Indie,4.0
125426016,0.61,Adventure,4.0
250894198,0.65,Sci-Fi,6.7
52077298,0.83,Comedy,5.3
41073698,0.48,Romance,4.0
11017871,0.87,Indie,4.8
95718414,0.89,Crime,5.8
152643503,0.53,Adventure,4.9
81115319,0.93,Thriller,6.2
9012984,0.69,Indie,4.0
25858241,0.52,Thriller,4.0
71818612,0.97,Thriller,6.1
50415230,0.64,Crime,4.0
119119149,0.89,Animation,6.6
86766155,0.66,Adventure,4.4
5837053,0.58,Indie,4.0
13021638,0.62,Drama,4.6
48826230,0.77,Romance,4.8
42810787,0.56,Romance,4.0
17372800,0.89,Indie,4.1
46510328,0.73,Comedy,4.9
290458570,0.36,Sci-Fi,5.8
124474627,0.89,Crime,6.1
11048414,0.91,Indie,4.1
237500627,0.54,Action,5.3
232583873,0.58,Sci-Fi,5.8
19407409,0.42,Drama,4.0
103176117,0.76,Thriller,4.9
108417871,0.46,Fantasy,4.0
128538740,0.75,Adventure,6.0
137210536,0.76,Adventure,4.9
152762064,0.97,Adventure,6.4
112652311,0.47,Thriller,4.1
193265306,0.88,Sci-Fi,6.0
96762164,0.54,Thriller,4.0
10906300,0.31,Indie,4.0
56840133,0.31,Thriller,4.0
2645651,0.92,Indie,5.2
29029547,0.84,Horror,4.4
21697145,0.73,Romance,4.3
131411871,0.79,Crime,6.0
50161016,0.37,Drama,4.0
245857076,0.84,Action,6.2
15818897,0.36,Romance,4.0
14941970,0.42,Indie,4.0
128209133,0.66,Animation,5.6
25244970,0.92,Drama,6.2
28050374,0.89,Horror,4.9
80213018,0.4,Adventure,4.0
127202721,0.76,Crime,5.4
128186993,0.36,Animation,4.0
21004379,0.38,Horror,4.0
9796677,0.7,Indie,4.3
14270983,0.76,Romance,4.1
220701646,0.52,Fantasy,5.2
38484847,0.73,Crime,4.5
11139819,0.74,Indie,4.0
99978109,0.51,Action,4.0
46514326,0.9,Comedy,4.5
159592645,0.76,Adventure,6.1
142508481,0.7,Animation,5.7
107902129,0.37,Thriller,4.0
57546086,0.32,Thriller,4.0
179372134,0.95,Adventure,7.4
64302863,0.67,Comedy,4.9
11063447,0.57,Romance,4.0
76031132,0.36,Comedy,4.0
110147573,0.96,Crime,5.7
23345631,0.97,Romance,5.7
108417397,0.86,Sci-Fi,5.8
127968999,0.85,Fantasy,5.3
47995650,0.3,Drama,4.0
16723624,0.67,Drama,4.6
18460153,0.39,Comedy,4.0
248069002,0.52,Sci-Fi,4.9
148052973,0.8,Action,5.8
3132653,0.62,Indie,4.0
59273962,0.61,Animation,4.0
81640712,0.79,Fantasy,5.6
99987997,0.51,Crime,4.3
112655388,0.98,Action,6.9
112086447,0.37,Thriller,4.0
79727512,0.91,Adventure,5.4
12407860,0.39,Drama,4.0
217198309,0.78,Fantasy,6.1
212420266,0.5,Fantasy,4.8
33311507,0.84,Thriller,4.0
117364555,0.9,Crime,6.3
205446020,0.61,Sci-Fi,5.0
37433796,0.57,Romance,4.0
35639647,0.51,Romance,4.0
54091779,0.93,Drama,5.1
27513132,0.59,Comedy,4.0
15731900,0.68,Romance,4.0
118488668,0.76,Animation,5.2
130701447,0.59,Crime,5.4
234419861,0.71,Action,6.0
206207519,0.44,Fantasy,4.7
119049651,0.54,Sci-Fi,4.3
52388792,0.69,Comedy,4.6
179448691,0.32,Animation,4.5
9974056,0.32,Indie,4.0
14402623,0.54,Horror,4.0
46005165,0.75,Drama,4.1
2028681,0.36,Indie,4.0
76348963,0.61,Thriller,4.0
27212742,0.52,Horror,4.0
92805481,0.9,Fantasy,5.1
83358016,0.76,Fantasy,4.5
86910299,0.63,Crime,4.4
10233294,0.81,Horror,4.0
34883373,0.49,Thriller,4.0
142790700,0.33,Adventure,4.0
84705420,0.31,Fantasy,4.0
295983820,0.39,Sci-Fi,4.8
15052013,0.31,Romance,4.0
16669505,0.56,Drama,4.0
179981214,0.87,Animation,7.0
68293990,0.89,Comedy,4.5
326828682,0.93,Action,8.8
185235123,0.69,Fantasy,5.8
58858073,0.38,Thriller,4.0
18534213,0.84,Romance,4.8
13141761,0.36,Indie,4.0
206951026,0.7,Sci-Fi,5.9
61644346,0.81,Thriller,4.3
13125733,0.65,Drama,4.0
82050628,0.92,Animation,5.6
5955648,0.46,Indie,4.0
136573289,0.71,Sci-Fi,5.6
40113745,0.42,Crime,4.0
184541453,0.81,Adventure,6.6
146760550,0.89,Adventure,6.4
37511983,0.35,Drama,4.0
29720390,0.49,Horror,4.0
49915403,0.51,Animation,4.0
277964490,0.87,Action,6.8
83057490,0.56,Comedy,4.0
2376493,0.61,Indie,4.0
55265073,0.52,Crime,4.0
12152273,0.61,Drama,4.3
12659232,0.64,Romance,4.0
279950754,0.6,Sci-Fi,6.0
72613111,0.55,Animation,4.5
74864099,0.83,Thriller,5.3
259663501,0.34,Action,4.0
81883769,0.49,Crime,4.1
110893133,0.89,Crime,5.8
248137018,0.4,Fantasy,4.4
123748393,0.75,Crime,4.9
3842698,0.51,Indie,4.0
15576094,0.76,Romance,4.7
18662829,0.36,Indie,4.0
127127490,0.31,Animation,4.0
181733077,0.94,Sci-Fi,6.8
126927419,0.41,Sci-Fi,4.0
83140959,0.82,Comedy,5.6
40132764,0.75,Animation,5.2
105178209,0.71,Fantasy,4.2
54496083,0.82,Drama,5.7
56397771,0.6,Drama,4.0
126581154,0.46,Crime,4.0
28246058,0.81,Horror,4.0
94201304,0.51,Animation,4.4
112080821,0.55,Adventure,4.9
183931274,0.82,Adventure,6.7
171588909,0.58,Animation,4.5
252313108,0.39,Sci-Fi,4.4
94503785,0.89,Crime,6.0
84244185,0.88,Comedy,5.0
26306714,0.61,Drama,4.0
32309586,0.94,Thriller,4.7
153841028,0.93,Adventure,6.4
87378254,0.55,Thriller,4.0
65319927,0.45,Comedy,4.0
60001909,0.84,Comedy,4.3
18852956,0.77,Horror,4.0
16740723,0.61,Indie,4.0
17550658,0.47,Comedy,4.0
171672584,0.59,Animation,5.5
170839659,0.38,Sci-Fi,4.0
136555334,0.72,Crime,4.8
64411830,0.73,Adventure,4.7
5817639,0.5,Indie,4.0
23143992,0.69,Romance,4.0
41490910,0.66,Crime,4.0
176050889,0.64,Animation,6.1
35458448,0.57,Animation,4.0
81926331,0.97,Crime,5.8
271713312,0.84,Action,7.0
4478382,0.82,Indie,4.7
15952966,0.33,Romance,4.0
53500064,0.86,Crime,5.6
17056841,0.73,Indie,4.5
76428713,0.33,Comedy,4.0
101249040,0.51,Sci-Fi,4.0
92884346,0.62,Thriller,4.0
55649468,0.49,Crime,4.1
258200709,0.49,Action,5.8
73690013,0.81,Thriller,5.5
65504725,0.96,Thriller,5.5
158608938,0.93,Adventure,6.6
71975380,0.35,Comedy,4.0
44606167,0.5,Drama,4.0
26840061,0.51,Romance,4.0
42366682,0.77,Thriller,4.1
269278838,0.72,Action,6.5
136230355,0.94,Crime,5.9
84520614,0.55,Crime,4.6
51473054,0.95,Crime,5.2
252023094,0.83,Fantasy,6.1
46674763,0.83,Comedy,4.5
96134287,0.32,Thriller,4.0
159580027,0.55,Adventure,5.1
106962248,0.66,Fantasy,4.4
67405107,0.47,Crime,4.0
7242736,0.64,Indie,4.0
61611227,0.48,Animation,4.0
117598308,0.98,Adventure,6.0
113734964,0.38,Adventure,4.0
106347088,0.91,Adventure,5.8
57894344,0.75,Comedy,4.8
175538016,0.5,Animation,4.3
55768700,0.78,Drama,5.4
32259329,0.65,Drama,4.0
127279476,0.46,Sci-Fi,4.0
44179749,0.69,Romance,4.0
64835198,0.72,Animation,4.0
16360031,0.98,Horror,5.1
140271975,0.82,Animation,6.4
31821075,0.96,Comedy,5.4
185046147,0.76,Adventure,5.7
78845357,0.82,Animation,4.7
44874773,0.87,Animation,5.2
8524974,0.41,Horror,4.0
182884863,0.94,Sci-Fi,6.9
5646099,0.47,Horror,4.0
103672388,0.39,Animation,4.0
55079496,0.64,Animation,4.0
111391208,0.42,Fantasy,4.0
160629067,0.87,Fantasy,6.3
123606188,0.33,Action,4.0
141043028,0.74,Fantasy,5.7
102961108,0.73,Thriller,4.8
103226170,0.5,Crime,4.8
125733912,0.85,Adventure,6.1
18218415,0.35,Horror,4.0
171567612,0.63,Adventure,4.7
108565770,0.51,Fantasy,4.2
12588712,0.96,Indie,4.5
41559731,0.68,Romance,4.0
92889224,0.48,Adventure,4.0
21792127,0.5,Comedy,4.0
182242190,0.47,Fantasy,5.0
29973845,0.93,Drama,5.9
294848834,0.41,Sci-Fi,6.1
193884788,0.9,Adventure,6.7
67780072,0.64,Comedy,4.7
246590242,0.54,Sci-Fi,4.7
186322196,0.49,Adventure,4.0
72838146,0.39,Comedy,4.0
34061922,0.55,Romance,4.0
220811567,0.43,Fantasy,4.6
66854861,0.64,Comedy,4.4
23912517,0.76,Horror,4.0
67868861,0.55,Comedy,4.3
128141713,0.81,Animation,5.2
137746524,0.64,Animation,4.2
55888338,0.53,Drama,4.0
99980954,0.71,Adventure,4.9
48142305,0.52,Romance,4.0
268459529,0.87,Fantasy,7.4
166825336,0.66,Animation,5.7
18934751,0.85,Horror,4.0
44710878,0.97,Crime,5.9
1894130,0.71,Indie,4.0
135079594,0.96,Crime,6.8
283649368,0.33,Sci-Fi,4.8
132056566,0.4,Animation,4.0
138999709,0.43,Action,4.0
40324759,0.58,Thriller,4.0
156595626,0.89,Animation,6.8
154132468,0.65,Action,5.2
94205866,0.66,Crime,4.4
38847497,0.92,Drama,5.3
24741045,0.71,Romance,4.0
164895208,0.68,Sci-Fi,4.9
28876314,0.5,Horror,4.0
17408220,0.52,Indie,4.0
10175712,0.5,Indie,4.0
131923380,0.91,Animation,6.1
16829846,0.5,Romance,4.0
3651787,0.54,Indie,4.0
28076518,0.63,Horror,4.0
102781634,0.93,Animation,6.4
15330071,0.72,Drama,4.5
103627240,0.76,Sci-Fi,5.2
61250794,0.34,Crime,4.0
16851244,0.37,Indie,4.0
164793970,0.58,Action,5.5
188164110,0.74,Adventure,6.3
13776599,0.49,Horror,4.0
46168067,0.66,Comedy,4.2
173987187,0.58,Action,5.5
293134837,0.84,Action,6.9
10712899,0.9,Indie,4.0
231808320,0.37,Fantasy,5.1
18245425,0.97,Horror,4.8
96024022,0.88,Adventure,5.6
120238384,0.52,Sci-Fi,4.5
64529507,0.79,Crime,4.3
26798742,0.69,Romance,4.3
49000462,0.88,Drama,6.1
89159799,0.52,Thriller,4.0
39800912,0.97,Comedy,5.3
91833447,0.48,Sci-Fi,4.0
14060389,0.51,Horror,4.0
220420279,0.74,Action,6.5
143471482,0.62,Action,4.3
97447155,0.93,Crime,6.7
26162301,0.38,Horror,4.0
15332726,0.72,Horror,4.0
40090244,0.4,Drama,4.0
170294154,0.58,Fantasy,4.9
118629422,0.82,Adventure,5.9
91976893,0.66,Fantasy,4.5
12241384,0.92,Romance,4.3
165690649,0.44,Animation,4.3
30019601,0.88,Drama,5.2
57568520,0.79,Crime,5.0
149583348,0.85,Animation,6.1
141514684,0.61,Animation,4.2
142723636,0.79,Adventure,5.5
196984874,0.69,Action,5.0
11278855,0.67,Romance,4.0
78360324,0.32,Comedy,4.0
59393825,0.74,Drama,5.3
70259293,0.98,Thriller,5.5
70418290,0.35,Thriller,4.0
65699178,0.74,Animation,4.5
44054806,0.57,Drama,4.0
90932354,0.81,Sci-Fi,6.0
173851001,0.66,Adventure,5.9
213648156,0.54,Sci-Fi,4.8
4786437,0.32,Indie,4.0
275635911,0.94,Fantasy,8.3
145319614,0.35,Sci-Fi,4.0
73066450,0.47,Adventure,4.0
122904970,0.67,Adventure,5.3
155234714,0.64,Action,4.7
11700632,0.69,Indie,4.2
22898360,0.51,Romance,4.0
99961132,0.45,Crime,4.0
174023915,0.73,Action,5.6
72585352,0.96,Adventure,6.5
81157708,0.83,Crime,5.2
74795619,0.4,Thriller,4.0
157109240,0.46,Animation,4.0
5843640,0.85,Indie,5.2
140777268,0.96,Animation,6.7
34066361,0.47,Drama,4.0
40612653,0.93,Crime,6.1
86891784,0.79,Comedy,4.4
15655657,0.76,Horror,4.0
40254849,0.85,Comedy,4.9
105007641,0.45,Crime,4.0
27346603,0.95,Romance,4.4
289038235,0.38,Sci-Fi,5.9
125120611,0.77,Adventure,5.7
52122457,0.68,Thriller,4.5
82579077,0.66,Thriller,4.0
15067670,0.65,Horror,4.0
78013937,0.82,Comedy,4.7
189510345,0.51,Sci-Fi,4.0
288978420,0.4,Sci-Fi,4.8
225462494,0.79,Fantasy,6.1
178547538,0.46,Sci-Fi,4.5
224030220,0.67,Sci-Fi,6.6
24268906,0.82,Romance,4.5
17461656,0.61,Indie,4.0
18359229,0.4,Romance,4.0
44382188,0.97,Drama,6.6
39079495,0.87,Animation,4.5
36511491,0.82,Crime,4.8
61062464,0.35,Crime,4.0
225756646,0.61,Sci-Fi,4.9
119490304,0.94,Crime,7.1
95478707,0.31,Crime,4.0
21590610,0.31,Thriller,4.0
106957369,0.31,Animation,4.0
87790557,0.85,Crime,6.3
27927031,0.66,Comedy,4.0
211319453,0.47,Fantasy,4.4
30605783,0.55,Thriller,4.0
135285621,0.97,Fantasy,6.0
141140610,0.88,Crime,6.6
131949887,0.32,Crime,4.0
94182331,0.62,Thriller,4.4
6750678,0.36,Indie,4.0
135277206,0.53,Crime,5.3
85888325,0.93,Comedy,5.2
16955142,0.48,Indie,4.0
67631028,0.91,Crime,5.8
176290213,0.93,Action,6.4
247581305,0.4,Sci-Fi,5.3
30326375,0.5,Thriller,4.0
174463431,0.76,Fantasy,5.8
119286916,0.4,Thriller,4.1
3631596,0.64,Indie,4.2
132444656,0.6,Action,5.2
47612186,0.82,Romance,5.5
63805532,0.32,Thriller,4.0
191695362,0.46,Adventure,4.6
77961650,0.43,Thriller,4.0
31501669,0.83,Thriller,4.2
281423615,0.35,Sci-Fi,4.5
115519690,0.83,Thriller,4.9
62503832,0.55,Thriller,4.0
17922859,0.54,Horror,4.0
13858418,0.43,Drama,4.0
167557292,0.58,Animation,4.2
44193061,0.36,Romance,4.0
32852879,0.31,Romance,4.0
47580349,0.69,Comedy,4.0
42750139,0.39,Thriller,4.0
99174081,0.34,Adventure,4.0
60232066,0.63,Thriller,4.0
11274189,0.79,Horror,4.0
122492076,0.61,Fantasy,4.0
292435515,0.53,Action,6.1
36542860,0.53,Romance,4.0
109778067,0.39,Crime,4.0
7739457,0.63,Indie,4.0
62833932,0.5,Thriller,4.0
125075276,0.52,Adventure,4.0
68991556,0.38,Thriller,4.0
216466193,0.42,Fantasy,4.9
327831543,0.94,Action,7.8
26247694,0.35,Horror,4.0
110325531,0.64,Thriller,4.6
157828723,0.75,Sci-Fi,6.0
29927432,0.61,Thriller,4.0
177590299,0.66,Fantasy,6.0
15035842,0.67,Indie,4.2
43031150,0.7,Romance,4.8
48316996,0.75,Comedy,4.1
112232236,0.33,Crime,4.0
116804457,0.57,Crime,4.9
34219637,0.31,Thriller,4.0
169263715,0.68,Animation,5.8
209662769,0.55,Sci-Fi,5.1
108999206,0.77,Crime,4.9
339185754,0.37,Action,5.4
30578562,0.87,Comedy,5.1
27930606,0.53,Romance,4.0
159634461,0.54,Animation,4.1
16181608,0.52,Indie,4.0
4861620,0.32,Indie,4.0
37059232,0.93,Comedy,5.5
76829432,0.68,Animation,4.3
82015859,0.46,Thriller,4.0
20508214,0.74,Drama,4.4
185937748,0.61,Action,5.1
195317781,0.44,Action,4.9
28656928,0.84,Comedy,4.6
28876477,0.43,Romance,4.0
145781117,0.63,Crime,5.9
47062034,0.56,Romance,4.0
61697654,0.54,Comedy,4.0
53203783,0.78,Drama,4.7
228422115,0.36,Fantasy,4.0
47020689,0.51,Comedy,4.0
5743205,0.65,Indie,4.0
46574580,0.56,Drama,4.0
102125824,0.77,Crime,5.6
45239552,0.41,Drama,4.0
29111107,0.87,Drama,5.4
7643133,0.63,Romance,4.0
95374270,0.64,Thriller,4.2
95998330,0.58,Crime,4.9
104896766,0.36,Adventure,4.0
168407288,0.32,Sci-Fi,4.0
8644156,0.83,Horror,4.0
197118436,0.38,Adventure,4.0
128478707,0.67,Animation,5.4
15809804,0.67,Indie,4.5
48223132,0.5,Comedy,4.0
130548924,0.54,Adventure,4.8
91510571,0.83,Adventure,4.9
12765218,0.89,Indie,5.0
42277675,0.72,Thriller,4.6
105933747,0.69,Sci-Fi,4.9
214624581,0.41,Fantasy,5.2
12708412,0.69,Horror,4.0
55561810,0.39,Animation,4.0
27957216,0.97,Thriller,5.8
55071937,0.89,Drama,5.2
11807772,0.86,Indie,5.0
82707402,0.63,Crime,4.6
24065902,0.58,Horror,4.0
136649222,0.9,Crime,5.7
104685639,0.77,Animation,5.9
191008443,0.52,Adventure,4.0
4125315,0.8,Indie,4.2
123588542,0.54,Crime,4.0
136761041,0.45,Animation,4.0
222799032,0.48,Sci-Fi,5.5
43729388,0.69,Romance,4.2
152271901,0.91,Adventure,6.8
133458780,0.73,Action,5.8
146699324,0.93,Action,5.9
60181442,0.97,Adventure,5.6
5426268,0.9,Indie,4.4
6131970,0.75,Horror,4.0
18108200,0.34,Romance,4.0
8856563,0.59,Indie,4.0
15145801,0.45,Comedy,4.0
130717647,0.65,Fantasy,4.7
264454966,0.86,Action,8.0
113151264,0.39,Thriller,4.0
31989814,0.8,Thriller,4.0
31666647,0.9,Romance,4.4
51055446,0.98,Drama,5.4
32274920,0.72,Animation,4.0
21297909,0.73,Romance,4.0
102688322,0.77,Thriller,5.6
28484199,0.4,Comedy,4.0
13885972,0.54,Indie,4.0
24628662,0.49,Drama,4.0
106482847,0.83,Animation,5.9
147551535,0.51,Crime,4.6
80639415,0.81,Animation,4.9
208495261,0.64,Action,5.0
79062139,0.66,Adventure,5.2
28238120,0.39,Romance,4.0
182974694,0.55,Fantasy,5.1
79593598,0.31,Adventure,4.0
10239131,0.33,Horror,4.0
87996124,0.49,Thriller,4.0
76851305,0.78,Thriller,4.1
174325761,0.72,Animation,5.4
5651523,0.65,Horror,4.0
43996535,0.52,Drama,4.0
121409746,0.74,Crime,5.1
117973354,0.95,Thriller,5.6
113142570,0.93,Sci-Fi,5.5
233432205,0.34,Fantasy,4.5
129409458,0.42,Crime,4.0
55076842,0.31,Drama,4.0
42098295,0.65,Romance,4.4
8602347,0.55,Horror,4.0
27593245,0.9,Horror,4.9
259857674,0.85,Action,6.8
50292504,0.78,Comedy,4.6
81591799,0.61,Comedy,4.0
104796883,0.55,Adventure,4.0
30479814,0.46,Comedy,4.0
86597111,0.47,Action,4.0
40144023,0.42,Thriller,4.0
305147182,0.45,Action,5.2
11735241,0.48,Indie,4.0
15012860,0.64,Romance,4.2
22977695,0.85,Drama,5.9
29251149,0.9,Thriller,5.5
13982396,0.36,Horror,4.0
20466813,0.5,Romance,4.0
9139768,0.62,Indie,4.0
112458307,0.8,Adventure,5.5
130417355,0.3,Sci-Fi,4.0
235369932,0.54,Sci-Fi,5.9
259861083,0.3,Action,4.7
11318344,0.37,Indie,4.0
202693456,0.63,Sci-Fi,4.8
55758189,0.49,Drama,4.0
229521802,0.58,Sci-Fi,6.1
82790819,0.69,Adventure,4.6
140053556,0.57,Crime,4.9
313529652,0.75,Action,6.6
11757402,0.88,Horror,4.9
114049798,0.87,Thriller,5.3
133002599,0.46,Adventure,4.6
59683664,0.7,Drama,4.1
38169913,0.62,Drama,4.0
126177052,0.96,Animation,6.0
18547331,0.48,Horror,4.0
54040361,0.51,Drama,4.0
80825951,0.45,Fantasy,4.0
14121194,0.78,Drama,5.4
88915391,0.33,Thriller,4.0
10085883,0.95,Drama,6.0
177671952,0.47,Animation,4.5
16150590,0.31,Drama,4.0
125088605,0.43,Sci-Fi,4.0
114597104,0.94,Crime,5.7
139476638,0.92,Fantasy,5.5
41541600,0.91,Comedy,5.0
14172581,0.92,Drama,5.9
15222692,0.33,Romance,4.0
46512716,0.59,Drama,4.4
67914092,0.56,Adventure,4.0
21409353,0.92,Romance,4.7
99897940,0.32,Adventure,4.0
263752472,0.5,Sci-Fi,5.3
158588886,0.34,Animation,4.0
